CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,TELEFONO_ORIG,TELEFONO_8DIG,TELEFONO_NORMALIZADO,CLAVE_NORMALIZADA
05-01-0325-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCACIONAL GUATEMALTECO DEL SUR,3A AVENIDA 5-52 ZONA 1,78894544,REMY ARTURO SINAY GUDIEL,NIDIA AMARILIS GALVEZ CHAVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA,78894544,78894544,78894544,ESCUINTLA | CENTRO EDUCACIONAL GUATEMALTECO DEL SUR | 3A AVENIDA 5-52 ZONA 1
05-01-0338-46,05-033,ESCUINTLA,ESCUINTLA,CORPORACIÓN DEL LICEO EDUCATIVO TÉCNICO EVANGÉLICO SOCIEDAD ANÓNIMA,1A AVENIDA 5-80 ZONA 4,78899679,REMY ARTURO SINAY GUDIEL,IRMA MARÍA BARRIOS Y BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,78899679,78899679,78899679,ESCUINTLA | CORPORACIÓN DEL LICEO EDUCATIVO TÉCNICO EVANGÉLICO SOCIEDAD ANÓNIMA | 1A AVENIDA 5-80 ZONA 4
05-01-0342-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO HISPANO-AMÉRICANO HACIENDA VERDE,"2DO. CALLEJÓN, 2DA CALLE, GRANJA NO. 2 CANTÓN LOS VOLADORES ZONA 3",40133449,REMY ARTURO SINAY GUDIEL,EVELYN SUSANA TRABANINO RODAS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,40133449,40133449,40133449,"ESCUINTLA | COLEGIO HISPANO-AMÉRICANO HACIENDA VERDE | 2DO. CALLEJÓN, 2DA CALLE, GRANJA NO. 2 CANTÓN LOS VOLADORES ZONA 3"
05-01-0344-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO PRIVADO CULTURAL INFORMÁTICO Y CIENTÍFICO IPCIC,3A. CALLE 2-23 ZONA 2 COLONIA EL FERROCARRILERO,41862567,REMY ARTURO SINAY GUDIEL,EDNA TOMASITA HERINCX RUIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,41862567,41862567,41862567,ESCUINTLA | INSTITUTO PRIVADO CULTURAL INFORMÁTICO Y CIENTÍFICO IPCIC | 3A. CALLE 2-23 ZONA 2 COLONIA EL FERROCARRILERO
05-01-0347-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO GRATIA,"CALLEJÓN PUENTE DE PALO. GRANJA SAN JOSÉ, CANTÓN PUENTE DE PALO",33674187,REMY ARTURO SINAY GUDIEL,MARÍA DEL ROSARIO REYES OLIVA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,33674187,33674187,33674187,"ESCUINTLA | CENTRO EDUCATIVO GRATIA | CALLEJÓN PUENTE DE PALO. GRANJA SAN JOSÉ, CANTÓN PUENTE DE PALO"
05-01-0348-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO PARTICULAR MIXTO DE EDUCACIÓN BÁSICA Y BACHILLERATO POR MADUREZ,4TA. AVENIDA 15-20 ZONA 4,78895255,REMY ARTURO SINAY GUDIEL,SALOMON ALVAREZ ANDRADE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA,78895255,78895255,78895255,ESCUINTLA | INSTITUTO PARTICULAR MIXTO DE EDUCACIÓN BÁSICA Y BACHILLERATO POR MADUREZ | 4TA. AVENIDA 15-20 ZONA 4
05-01-0350-46,05-033,ESCUINTLA,ESCUINTLA,LICEO EVANGÉLICO EL EDEN,6 AVENIDA 13-86 ZONA 1,41261831,REMY ARTURO SINAY GUDIEL,SANDRA JUDITH COLLADO SOLARES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA,41261831,41261831,41261831,ESCUINTLA | LICEO EVANGÉLICO EL EDEN | 6 AVENIDA 13-86 ZONA 1
05-01-0359-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO Y FORMACIÓN HUMANA DE MARÍA,3A. CALLE A 1-43 ZONA 1,42065584,REMY ARTURO SINAY GUDIEL,ERICK IVAN RIVERA MARTINEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA,42065584,42065584,42065584,ESCUINTLA | CENTRO EDUCATIVO Y FORMACIÓN HUMANA DE MARÍA | 3A. CALLE A 1-43 ZONA 1
05-01-0360-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO CAMPUS SUR,1A. AVENIDA CASA NO. 1 ZONA 4 COLONIA LA INDUSTRIA,77254989,REMY ARTURO SINAY GUDIEL,EVELYN SAMANTHA PÉREZ ROSAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,77254989,77254989,77254989,ESCUINTLA | CENTRO EDUCATIVO CAMPUS SUR | 1A. AVENIDA CASA NO. 1 ZONA 4 COLONIA LA INDUSTRIA
05-01-0364-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO TÉCNICO DE CAPACITACIÓN Y PRODUCTIVIDAD INTECAP,4A. CALLE Y 16 AVENIDA ZONA 5 COLONIA HUNAPÚ,77903232,REMY ARTURO SINAY GUDIEL,DANIEL EDMUNDO ARREAZA NAVAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA,77903232,77903232,77903232,ESCUINTLA | INSTITUTO TÉCNICO DE CAPACITACIÓN Y PRODUCTIVIDAD INTECAP | 4A. CALLE Y 16 AVENIDA ZONA 5 COLONIA HUNAPÚ
05-01-0368-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO COMERCIAL DE COMPUTOS AVANZADOS,4A AVENIDA 15-94 SUR FINAL,78898958,REMY ARTURO SINAY GUDIEL,NILDA JANETHE IBARRA BARRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA,78898958,78898958,78898958,ESCUINTLA | INSTITUTO COMERCIAL DE COMPUTOS AVANZADOS | 4A AVENIDA 15-94 SUR FINAL
05-01-0369-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO EL BOSQUE,1A. CALLE A 4-52 ZONA 2 COLONIA EL QUETZAL,56932945,REMY ARTURO SINAY GUDIEL,EMILSA NOEMÍ GARCÍA FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA,56932945,56932945,56932945,ESCUINTLA | CENTRO EDUCATIVO EL BOSQUE | 1A. CALLE A 4-52 ZONA 2 COLONIA EL QUETZAL
05-01-0381-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO INTEGRAL HISPANOAMERICANO JUNIOR,9A. AVENIDA 6A. CALLE LOTE NO. 9 ZONA 3 LOTIFICACIÓN PREMIER,58559720,REMY ARTURO SINAY GUDIEL,MARITZA COLLADO SOLARES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,58559720,58559720,58559720,ESCUINTLA | COLEGIO INTEGRAL HISPANOAMERICANO JUNIOR | 9A. AVENIDA 6A. CALLE LOTE NO. 9 ZONA 3 LOTIFICACIÓN PREMIER
05-01-0382-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO INTEGRAL HISPANOAMERICANO JUNIOR,9A. AVENIDA 6A. CALLE ZONA 3 LOTIFICACIÓN PREMIER,58559720,REMY ARTURO SINAY GUDIEL,MARITZA COLLADO SOLARES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA,58559720,58559720,58559720,ESCUINTLA | COLEGIO INTEGRAL HISPANOAMERICANO JUNIOR | 9A. AVENIDA 6A. CALLE ZONA 3 LOTIFICACIÓN PREMIER
05-01-0387-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO CRISTIANO MONTE MORIAH,2DA. AVENIDA 3-80 ZONA 3 COLONIA AGUAS VIVAS,77254128,REMY ARTURO SINAY GUDIEL,MELY NOHEMÍ MEJÍA CASTILLO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,77254128,77254128,77254128,ESCUINTLA | COLEGIO CRISTIANO MONTE MORIAH | 2DA. AVENIDA 3-80 ZONA 3 COLONIA AGUAS VIVAS
05-01-0388-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO LICEO NUEVA VISIÓN SAN GABRIEL,"CALLE PRINCIPAL LOTE 44, ZONA 0",47174315,REMY ARTURO SINAY GUDIEL,FLORENCIA RODRIGUEZ RAMIREZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,47174315,47174315,47174315,"ESCUINTLA | COLEGIO LICEO NUEVA VISIÓN SAN GABRIEL | CALLE PRINCIPAL LOTE 44, ZONA 0"
05-01-0402-46,05-028,ESCUINTLA,ESCUINTLA,PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA,"LOCAL 37 Y 37 A. C.C. PLAZA PALMERAS, 1 AVENIDA BARRIO SAN PEDRO EL PITO, ZONA 2",22504723,CLAUDIA YADIRA GUZMAN MONTEPEQUE DE AREVALO,CLAUDIA YADIRA GUZMÁN MONTEPEQUE,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ESCUINTLA,22504723,22504723,22504723,"ESCUINTLA | PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA | LOCAL 37 Y 37 A. C.C. PLAZA PALMERAS, 1 AVENIDA BARRIO SAN PEDRO EL PITO, ZONA 2"
05-01-0403-46,05-033,ESCUINTLA,ESCUINTLA,LICEO FUENTE DE VIDA,LOTE 156 FLORIDO ACEITUNO,56211051,REMY ARTURO SINAY GUDIEL,DIOGENES BAUDILIO FIGUEROA CRUZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,56211051,56211051,56211051,ESCUINTLA | LICEO FUENTE DE VIDA | LOTE 156 FLORIDO ACEITUNO
05-01-0405-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO BILINGÜE CON COMPUTACIÓN DEL PRADO,2A AVENIDA 1-99 ZONA 2 COLONIA DEL FERROCARRILERO,78892172,REMY ARTURO SINAY GUDIEL,ALICIA ODETH DÍAZ TEJADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,78892172,78892172,78892172,ESCUINTLA | COLEGIO BILINGÜE CON COMPUTACIÓN DEL PRADO | 2A AVENIDA 1-99 ZONA 2 COLONIA DEL FERROCARRILERO
05-01-0410-46,05-033,ESCUINTLA,ESCUINTLA,CORPORACIÓN DEL LICEO EDUCATIVO TÉCNICO EVANGÉLICO S.A.,1A AVENIDA 5-80 ZONA 4,78899679,REMY ARTURO SINAY GUDIEL,IRMA MARÍA BARRIOS Y BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,78899679,78899679,78899679,ESCUINTLA | CORPORACIÓN DEL LICEO EDUCATIVO TÉCNICO EVANGÉLICO S.A. | 1A AVENIDA 5-80 ZONA 4
05-01-0411-46,05-022,ESCUINTLA,ESCUINTLA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,COMUIDAD AGRAGIRA SAN ANDRÉS OSUNA.,54293707,EMILSA NOEMI GARCÍA FUENTES DE ORELLANA,CARMEN DANIELA ILLESCAS GARCÍA,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,54293707,54293707,54293707,ESCUINTLA | INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA | COMUIDAD AGRAGIRA SAN ANDRÉS OSUNA.
05-01-0417-46,05-028,ESCUINTLA,ESCUINTLA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL,"LOCAL 37 Y 37 A CENTRO COMERCIAL PLAZA PALMERAS 1 AVE BARRIO SAN PEDRO EL PITO, ZONA 2",79625252,CLAUDIA YADIRA GUZMAN MONTEPEQUE DE AREVALO,RICARDO ALBERTO LÓPEZ ÁLVAREZ.,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ESCUINTLA,79625252,79625252,79625252,"ESCUINTLA | CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL | LOCAL 37 Y 37 A CENTRO COMERCIAL PLAZA PALMERAS 1 AVE BARRIO SAN PEDRO EL PITO, ZONA 2"
05-01-0420-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO TECNOLÓGICO MODERNO.,"MANZANA 34, LOTE 412 ZONA 3, COLONIA EL MANGO",54329507,REMY ARTURO SINAY GUDIEL,MILVIA ELICENA MEZA ALVAREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ESCUINTLA,54329507,54329507,54329507,"ESCUINTLA | INSTITUTO TECNOLÓGICO MODERNO. | MANZANA 34, LOTE 412 ZONA 3, COLONIA EL MANGO"
05-01-0421-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO TÉCNICO CIENCIAS INDUSTRIALES,"2DA.CALLE 3-28, ZONA 1",78898879,REMY ARTURO SINAY GUDIEL,MAYRON USIEL LOAIZA GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ESCUINTLA,78898879,78898879,78898879,"ESCUINTLA | INSTITUTO TÉCNICO CIENCIAS INDUSTRIALES | 2DA.CALLE 3-28, ZONA 1"
05-01-0423-46,05-033,ESCUINTLA,ESCUINTLA,LICEO PREUNIVERSITARIO CIENCIA Y TECNOLOGÍA,6TA. AVE. 2-52 ZONA 1,79371440,REMY ARTURO SINAY GUDIEL,SILVIA YANIRA MELENDEZ AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ESCUINTLA,79371440,79371440,79371440,ESCUINTLA | LICEO PREUNIVERSITARIO CIENCIA Y TECNOLOGÍA | 6TA. AVE. 2-52 ZONA 1
05-01-0425-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO MIXTO PARTICULAR DE EDUCACIÓN BÁSICA Y DIVERSIFICADA ALMA LIBERTAD PÉREZ MARTÍNEZ.,"ESCUELA OFICIAL RURAL MIXTA GONZALO ADOLFO SANTIZO, 4TA. AVENIDA 22-04 ZONA 5 COLONIA CAÑAVERAL 1",58342002,REMY ARTURO SINAY GUDIEL,SANDRA YANETH DÁVILA MENDOZA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA,58342002,58342002,58342002,"ESCUINTLA | INSTITUTO MIXTO PARTICULAR DE EDUCACIÓN BÁSICA Y DIVERSIFICADA ALMA LIBERTAD PÉREZ MARTÍNEZ. | ESCUELA OFICIAL RURAL MIXTA GONZALO ADOLFO SANTIZO, 4TA. AVENIDA 22-04 ZONA 5 COLONIA CAÑAVERAL 1"
05-01-0427-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO DE ESTUDIOS AVANZADOS EL SABER I.D.E.A.S.,8A. CALLE 5-42 ZONA 1,78893628,REMY ARTURO SINAY GUDIEL,VIVIAN JANETH ESTÉVEZ RÉGIL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA,78893628,78893628,78893628,ESCUINTLA | INSTITUTO DE ESTUDIOS AVANZADOS EL SABER I.D.E.A.S. | 8A. CALLE 5-42 ZONA 1
05-01-0429-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO DE FORMACIÓN Y DESARROLLO CON COMPUTACIÓN RALIAN,2A. CALLE A 3-50 ZONA 3 COLONIA EL RECREO,41016519,REMY ARTURO SINAY GUDIEL,LILIAN ARGENTINA PANIAGUA AJÍN DE CASTILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ESCUINTLA,41016519,41016519,41016519,ESCUINTLA | COLEGIO DE FORMACIÓN Y DESARROLLO CON COMPUTACIÓN RALIAN | 2A. CALLE A 3-50 ZONA 3 COLONIA EL RECREO
05-01-0430-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO DE FORMACIÓN Y DESARROLLO CON COMPUTACIÓN RALIAN,2A. CALLE A 3-50 ZONA 3 COLONIA EL RECREO,41016519,REMY ARTURO SINAY GUDIEL,LILIAN ARGENTINA PANIAGUA AJÍN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA,41016519,41016519,41016519,ESCUINTLA | COLEGIO DE FORMACIÓN Y DESARROLLO CON COMPUTACIÓN RALIAN | 2A. CALLE A 3-50 ZONA 3 COLONIA EL RECREO
05-01-0432-46,05-033,ESCUINTLA,ESCUINTLA,LICEO EVANGÉLICO EL EDEN.,6TA. AVENIDA 13-86 ZONA 1.,41261831,REMY ARTURO SINAY GUDIEL,SANDRA JUDITH COLLADO SOLARES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA,41261831,41261831,41261831,ESCUINTLA | LICEO EVANGÉLICO EL EDEN. | 6TA. AVENIDA 13-86 ZONA 1.
05-01-0434-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO INTEGRAL HISPANOAMERICANO,1AV. 6-60 ZONA 4,58559720,REMY ARTURO SINAY GUDIEL,MARITZA COLLADO SOLARES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA,58559720,58559720,58559720,ESCUINTLA | COLEGIO INTEGRAL HISPANOAMERICANO | 1AV. 6-60 ZONA 4
05-01-0436-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO CARROUSEL.,25 CALLE 0-09 ZONA 5 CAÑAVERAL IV,52087048,REMY ARTURO SINAY GUDIEL,SANDRA EUGENIA MENDIZABAL VALDEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA,52087048,52087048,52087048,ESCUINTLA | COLEGIO CARROUSEL. | 25 CALLE 0-09 ZONA 5 CAÑAVERAL IV
05-01-0438-46,05-033,ESCUINTLA,ESCUINTLA,LICEO FUENTE DE VIDA,LOTE 158 FLORIDO ACEITUNO,56211051,REMY ARTURO SINAY GUDIEL,DIOGENES BAUDILIO FIGUEROA CRUZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA,56211051,56211051,56211051,ESCUINTLA | LICEO FUENTE DE VIDA | LOTE 158 FLORIDO ACEITUNO
05-01-0439-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO DE FORMACIÓN Y DESARROLLO CON COMPUTACIÓN RALIAN.,2A.CALLE A 3-50 ZONA 3 COLONIA EL RECREO,41016519,REMY ARTURO SINAY GUDIEL,LILIAN ARGENTINA PANIAGUA AJÍN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ESCUINTLA,41016519,41016519,41016519,ESCUINTLA | COLEGIO DE FORMACIÓN Y DESARROLLO CON COMPUTACIÓN RALIAN. | 2A.CALLE A 3-50 ZONA 3 COLONIA EL RECREO
05-01-0442-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO INTERNACIONAL FUTURE LEARNING CENTER FLC,KM. 60 LA FELICIDAD SALIDA A PUERTO SAN JOSÉ.,47691929,REMY ARTURO SINAY GUDIEL,JESSICA JEANNETTE SAGASTUME HICKS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA,47691929,47691929,47691929,ESCUINTLA | COLEGIO INTERNACIONAL FUTURE LEARNING CENTER FLC | KM. 60 LA FELICIDAD SALIDA A PUERTO SAN JOSÉ.
05-01-0447-46,05-033,ESCUINTLA,ESCUINTLA,CORPORACIÓN DEL LICEO EDUCATIVO TÉCNICO EVANGÉLICO S.A.,1A AVENIDA 5-80 ZONA 4,78899679,REMY ARTURO SINAY GUDIEL,IRMA MARÍA BARRIOS Y BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,VIRTUAL A DISTANCIA,ESCUINTLA,78899679,78899679,78899679,ESCUINTLA | CORPORACIÓN DEL LICEO EDUCATIVO TÉCNICO EVANGÉLICO S.A. | 1A AVENIDA 5-80 ZONA 4
05-01-0449-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO EL BOSQUE,1A. CALLE A 4-52 ZONA 2 COLONIA EL QUETZAL,56932945,REMY ARTURO SINAY GUDIEL,EMILSA NOEMÍ GARCÍA FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA,56932945,56932945,56932945,ESCUINTLA | CENTRO EDUCATIVO EL BOSQUE | 1A. CALLE A 4-52 ZONA 2 COLONIA EL QUETZAL
05-01-0451-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO PARTICULAR MIXTO DE EDUCACIÓN BÁSICA Y BACHILLERATO POR MADUREZ,4A. AVENIDA 15-20 ZONA 4,41506887,REMY ARTURO SINAY GUDIEL,SALOMON ALVAREZ ANDRADE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ESCUINTLA,41506887,41506887,41506887,ESCUINTLA | INSTITUTO PARTICULAR MIXTO DE EDUCACIÓN BÁSICA Y BACHILLERATO POR MADUREZ | 4A. AVENIDA 15-20 ZONA 4
05-01-0453-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO HISPANO-AMERICANO HACIENDA VERDE,2O CALLEJÓN Y 2A CALLE GRANJA NO. 2 CANTÓN LOS VOLADORES ZONA 3,40133449,REMY ARTURO SINAY GUDIEL,EVELYN SUSANA TRABANINO RODAS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA,40133449,40133449,40133449,ESCUINTLA | COLEGIO HISPANO-AMERICANO HACIENDA VERDE | 2O CALLEJÓN Y 2A CALLE GRANJA NO. 2 CANTÓN LOS VOLADORES ZONA 3
05-01-0455-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO COMERCIAL DE CÓMPUTOS AVANZADOS,4A. AVENIDA 15-94 SUR FINAL,78898958,REMY ARTURO SINAY GUDIEL,NILDA JANETHE IBARRA BARRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS DÍAS A LA SEMANA),ESCUINTLA,78898958,78898958,78898958,ESCUINTLA | INSTITUTO COMERCIAL DE CÓMPUTOS AVANZADOS | 4A. AVENIDA 15-94 SUR FINAL
05-01-0457-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO NACIONAL DE BACHILLERATO EN CIENCIAS Y LETRAS POR MADUREZ SALOMÓN ALVAREZ ANDRADE,4A AVENIDA 15-20 ZONA 4,78897815,REMY ARTURO SINAY GUDIEL,CÉSAR BENJAMÍN LARIOS CASTILLO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA,78897815,78897815,78897815,ESCUINTLA | INSTITUTO NACIONAL DE BACHILLERATO EN CIENCIAS Y LETRAS POR MADUREZ SALOMÓN ALVAREZ ANDRADE | 4A AVENIDA 15-20 ZONA 4
05-01-0459-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO BILINGÜE JARDÍN AMERICANO,"3A. CALLE SECTOR B, LOTE 21 COLONIA JACARANDAS 1, ZONA 3",78898449,REMY ARTURO SINAY GUDIEL,CLAUDIA ARGENTINA JIMÉNEZ PRADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA,78898449,78898449,78898449,"ESCUINTLA | COLEGIO BILINGÜE JARDÍN AMERICANO | 3A. CALLE SECTOR B, LOTE 21 COLONIA JACARANDAS 1, ZONA 3"
05-01-0461-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO JAVIER CAST,6TA. AVENIDA 0-82 ZONA 4 COLONIA LOS NARANJALES,58651151,REMY ARTURO SINAY GUDIEL,SILVIA LORENA CAMBRAN RODRIGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS DÍAS A LA SEMANA),ESCUINTLA,58651151,58651151,58651151,ESCUINTLA | CENTRO EDUCATIVO JAVIER CAST | 6TA. AVENIDA 0-82 ZONA 4 COLONIA LOS NARANJALES
05-01-0463-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO OFICIAL MIXTO DE EDUCACIÓN BÁSICA Y BACHILLERATO POR MADUREZ PALMERAS,KM 68.5 CARRETERA A TAXISCO GRANJA MODELO DE REHABILITACIÓN CANADA CON COBERTURA EN ALTA SEGURIDAD,54953504,REMY ARTURO SINAY GUDIEL,LUDDIN FEDERICO ALVAREZ DUARTE,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,54953504,54953504,54953504,ESCUINTLA | INSTITUTO OFICIAL MIXTO DE EDUCACIÓN BÁSICA Y BACHILLERATO POR MADUREZ PALMERAS | KM 68.5 CARRETERA A TAXISCO GRANJA MODELO DE REHABILITACIÓN CANADA CON COBERTURA EN ALTA SEGURIDAD
